time,x,y,dx,dy,speed,dt
1761282800.0,1263.0,701.0,0.0,0.0,0.0,0.001
1761282800.0,1263.0,701.0,0.0,0.0,0.0,0.001
1761282800.0,1263.0,701.0,0.0,0.0,0.0,0.001
1761282800.0,1263.0,701.0,0.0,0.0,0.0,0.001
1761282800.0,1263.0,702.0,0.0,1.0,1.0,0.001
1761282800.0,1258.0,700.0,-5.0,-2.0,5.3851647,0.001
1761282800.0,1250.0,695.0,-8.0,-5.0,9.433981,0.001
1761282800.0,1239.0,692.0,-11.0,-3.0,11.401754,0.001
1761282800.0,1215.0,687.0,-24.0,-5.0,24.5153,0.001
1761282800.0,1198.0,684.0,-17.0,-3.0,17.262676,0.001
1761282800.0,1168.0,681.0,-30.0,-3.0,30.149628,0.001
1761282800.0,1152.0,681.0,-16.0,0.0,16.0,0.001
1761282800.0,1130.0,681.0,-22.0,0.0,22.0,0.001
1761282800.0,1081.0,681.0,-49.0,0.0,49.0,0.001
1761282800.0,1042.0,681.0,-39.0,0.0,39.0,0.001
1761282800.0,1023.0,678.0,-19.0,-3.0,19.235384,0.001
1761282800.0,1009.0,678.0,-14.0,0.0,14.0,0.001
1761282800.0,993.0,678.0,-16.0,0.0,16.0,0.001
1761282800.0,985.0,676.0,-8.0,-2.0,8.246211,0.001
1761282800.0,979.0,676.0,-6.0,0.0,6.0,0.001
1761282800.0,962.0,676.0,-17.0,0.0,17.0,0.001
1761282800.0,953.0,676.0,-9.0,0.0,9.0,0.001
1761282800.0,927.0,676.0,-26.0,0.0,26.0,0.001
1761282800.0,921.0,676.0,-6.0,0.0,6.0,0.001
1761282800.0,907.0,676.0,-14.0,0.0,14.0,0.001
1761282800.0,887.0,676.0,-20.0,0.0,20.0,0.001
1761282800.0,879.0,676.0,-8.0,0.0,8.0,0.001
1761282800.0,876.0,676.0,-3.0,0.0,3.0,0.001
1761282800.0,868.0,676.0,-8.0,0.0,8.0,0.001
1761282800.0,868.0,676.0,0.0,0.0,0.0,0.001
1761282800.0,867.0,676.0,-1.0,0.0,1.0,0.001
1761282800.0,866.0,676.0,-1.0,0.0,1.0,0.001
1761282800.0,866.0,676.0,0.0,0.0,0.0,0.001
1761282800.0,866.0,676.0,0.0,0.0,0.0,0.001
1761282800.0,866.0,676.0,0.0,0.0,0.0,0.001
1761282800.0,866.0,676.0,0.0,0.0,0.0,0.001
1761282800.0,866.0,676.0,0.0,0.0,0.0,0.001
1761282800.0,866.0,676.0,0.0,0.0,0.0,0.001
1761282800.0,866.0,676.0,0.0,0.0,0.0,0.001
1761282800.0,871.0,676.0,5.0,0.0,5.0,0.001
1761282800.0,876.0,674.0,5.0,-2.0,5.3851647,0.001
1761282800.0,887.0,668.0,11.0,-6.0,12.529964,0.001
1761282800.0,909.0,652.0,22.0,-16.0,27.202942,0.001
1761282800.0,922.0,637.0,13.0,-15.0,19.849434,0.001
1761282800.0,938.0,619.0,16.0,-18.0,24.083189,0.001
1761282800.0,967.0,581.0,29.0,-38.0,47.801674,0.001
1761282800.0,987.0,562.0,20.0,-19.0,27.58623,0.001
1761282800.0,997.0,547.0,10.0,-15.0,18.027756,0.001
1761282800.0,1039.0,492.0,42.0,-55.0,69.2026,0.001
1761282800.0,1059.0,463.0,20.0,-29.0,35.22783,0.001
1761282800.0,1087.0,409.0,28.0,-54.0,60.827625,0.001
1761282800.0,1094.0,388.0,7.0,-21.0,22.135944,0.001
1761282800.0,1097.0,367.0,3.0,-21.0,21.213203,0.001
1761282800.0,1099.0,334.0,2.0,-33.0,33.06055,0.001
1761282800.0,1099.0,321.0,0.0,-13.0,13.0,0.001
1761282800.0,1096.0,302.0,-3.0,-19.0,19.235384,0.001
1761282800.0,1086.0,293.0,-10.0,-9.0,13.453624,0.001
1761282800.0,1079.0,286.0,-7.0,-7.0,9.899495,0.001
1761282800.0,1070.0,281.0,-9.0,-5.0,10.29563,0.001
1761282800.0,1038.0,280.0,-32.0,-1.0,32.01562,0.001
1761282800.0,1026.0,280.0,-12.0,0.0,12.0,0.001
1761282800.0,1004.0,280.0,-22.0,0.0,22.0,0.001
1761282800.0,946.0,281.0,-58.0,1.0,58.00862,0.001
1761282800.0,914.0,287.0,-32.0,6.0,32.55764,0.001
1761282800.0,877.0,299.0,-37.0,12.0,38.8973,0.001
1761282800.0,801.0,330.0,-76.0,31.0,82.07923,0.001
1761282800.0,770.0,345.0,-31.0,15.0,34.43835,0.001
1761282800.0,742.0,363.0,-28.0,18.0,33.286633,0.001
1761282800.0,722.0,376.0,-20.0,13.0,23.853722,0.001
1761282800.0,693.0,399.0,-29.0,23.0,37.01351,0.001
1761282800.0,685.0,413.0,-8.0,14.0,16.124516,0.001
1761282800.0,682.0,430.0,-3.0,17.0,17.262676,0.001
1761282800.0,682.0,465.0,0.0,35.0,35.0,0.001
1761282800.0,682.0,483.0,0.0,18.0,18.0,0.001
1761282800.0,682.0,499.0,0.0,16.0,16.0,0.001
1761282800.0,682.0,513.0,0.0,14.0,14.0,0.001
1761282800.0,682.0,524.0,0.0,11.0,11.0,0.001
1761282800.0,694.0,549.0,12.0,25.0,27.730848,0.001
1761282800.0,698.0,556.0,4.0,7.0,8.062258,0.001
1761282800.0,706.0,569.0,8.0,13.0,15.264338,0.001
1761282800.0,720.0,591.0,14.0,22.0,26.076809,0.001
1761282800.0,730.0,604.0,10.0,13.0,16.40122,0.001
1761282800.0,743.0,621.0,13.0,17.0,21.400934,0.001
1761282800.0,755.0,634.0,12.0,13.0,17.691807,0.001
1761282800.0,777.0,653.0,22.0,19.0,29.068884,0.001
1761282800.0,797.0,658.0,20.0,5.0,20.615528,0.001
1761282800.0,816.0,663.0,19.0,5.0,19.646883,0.001
1761282800.0,848.0,665.0,32.0,2.0,32.06244,0.001
1761282800.0,868.0,665.0,20.0,0.0,20.0,0.001
1761282800.0,884.0,665.0,16.0,0.0,16.0,0.001
1761282800.0,912.0,658.0,28.0,-7.0,28.86174,0.001
1761282800.0,925.0,653.0,13.0,-5.0,13.928389,0.001
1761282800.0,938.0,643.0,13.0,-10.0,16.40122,0.001
1761282800.0,964.0,620.0,26.0,-23.0,34.713108,0.001
1761282800.0,973.0,611.0,9.0,-9.0,12.727922,0.001
1761282800.0,985.0,600.0,12.0,-11.0,16.27882,0.001
1761282800.0,1000.0,585.0,15.0,-15.0,21.213203,0.001
1761282800.0,1034.0,545.0,34.0,-40.0,52.49762,0.001
1761282800.0,1064.0,506.0,30.0,-39.0,49.20366,0.001
1761282800.0,1077.0,491.0,13.0,-15.0,19.849434,0.001
1761282800.0,1093.0,473.0,16.0,-18.0,24.083189,0.001
1761282800.0,1122.0,446.0,29.0,-27.0,39.623226,0.001
1761282800.0,1142.0,433.0,20.0,-13.0,23.853722,0.001
1761282800.0,1154.0,422.0,12.0,-11.0,16.27882,0.001
1761282800.0,1183.0,402.0,29.0,-20.0,35.22783,0.001
1761282800.0,1200.0,392.0,17.0,-10.0,19.723083,0.001
1761282800.0,1215.0,382.0,15.0,-10.0,18.027756,0.001
